"","x"
"1",0.147313040210447
"2",-0.192869515550504
"3",-0.0942520897894077
"4",0.0848406529376484
"5",-0.0394054100406182
"6",0.153046333046697
"7",0.257345957601426
"8",0.10209511714962
"9",-0.142035972557018
"10",0.0296012299787868
"11",0.0411799537061958
"12",0.0893128917437758
"13",1.76580792244139
"14",0.231684329918482
"15",0.0143229571164694
"16",0.132140036851803
"17",0.180822058747878
"18",0.893479546946629
"19",0.339667511975204
"20",0.242296939931998
"21",0.249045801526718
"22",0.0356670458854759
"23",0.214074968859126
"24",-0.322224000389426
"25",-0.298311684615235
"26",0.0711579769905111
"27",-0.0741109499491107
"28",0.0455172913909515
"29",0.295866722901729
"30",0.0479149012628353
"31",0.335742781530197
"32",0.177292628934627
"33",-0.0056841845695019
"34",-1.35969839873773
"35",0.0491693510181336
"36",0.223532739521521
"37",-0.0617169370754015
"38",-0.0703227772329593
"39",-0.00832028004845041
"40",-0.14961682361164
"41",0.06673155254928
"42",0.0922898214026426
"43",0.133504629660447
"44",-0.0100919331846487
"45",0.203505061187491
"46",0.0946357382333115
"47",0.4380429442468
"48",0.348542097383617
"49",0.135537337373017
"50",-0.0529601729646887
"51",0.610071654337959
"52",0.0951451576470251
"53",0.77506962525022
"54",-0.0196353717483303
"55",-0.440341602393765
"56",0
"57",0.253127154535605
"58",0.198851126305373
"59",0.584054206514031
"60",-0.423516089459281
"61",-0.864411334172075
"62",-0.13275155711435
"63",0.000142918238269157
"64",-0.024303236651302
"65",-0.176660233772866
"66",5.90012839858645
"67",0.373093866485937
"68",0
"69",-12.6590325324078
"70",-0.000525206786156069
"71",0.136829996755481
"72",0.496245649326504
"73",-0.0038981712561486
"74",-0.0301599563855249
"75",0.414634421994128
"76",-0.18733088687026
"77",0.229164722311142
"78",0.0450787451010517
"79",0.117103725416361
"80",-0.0101098764922136
"81",0.199365646996421
"82",0.207961363968974
"83",0.0619383627491883
"84",-0.289156626506024
"85",-0.026563935950206
"86",-0.472675250646219
"87",0.215797726381811
"88",0.173130879683116
"89",0.329315933837586
"90",0.0424374195394078
"91",0.378559143894516
"92",0.113070910279332
"93",0.00133654297792391
"94",0.302154391644506
"95",0.162731485478325
"96",0.161606295036005
"97",2.17136713477353
"98",0.301751023637164
"99",-0.0414522086208415
"100",0.0945192009605008
"101",0.0686454776289292
"102",0.00279941797652108
