"","Cote_crédit","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","ratio_Fonds_de_roulement","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","Total_actif","Marge_d_explt","Beta_applique"
"25",6,7.345,7.1189,7.8002,3.0578,0.452278719398407,0.248591417216338,-0.239211779620721,3.8235,34.8486,4.7505,0.1641,0.451893275042335,0.1641,1.2702,7215.5681,7.1189,1
"26",4,19.7625,4.9605,1.4818,0.9582,0.327481322826436,0.380436468527778,1.63851339173065,1.4637,13.4197,6.5137,4.9893,0.205940073631579,3.8298,0.7344,7427.248,4.9605,1.1317
"27",6,26.6361,20.0501,33.0034,16.5062,0.532488541385818,0.3499595578323,0.310481867858917,6.8607,34.6904,2.6041,0.3179,0.290195021119799,0.1575,0.3129,1112.7,20.0501,1.5874
"28",1,73.8458,52.5077,12.324,0.6508,0.0886128916389867,0.0550636731580331,1.07142857142857,1.441,90.8299,2.2385,1.8652,-0.000568040851542857,1.4312,0.2023,270051,11.1401,2.3194
"29",3,49.1118,37.4941,23.631,9.9202,0.587954503928376,0.40274986296364,1.38161884767903,10.3959,32.6535,0.6601,0.2979,-0.0332769961629819,0.0149,-0.0747,43784,37.4941,1.0863
"30",4,48.5553,24.2382,16.1756,7.2368,0.552092267124077,0.325443862725772,1.33026970016574,6.6124,29.174,0.6761,0.4662,-0.0275214090961457,0.0948,-0.0853,78121,24.2382,1.327
"31",4,35.9252,21.9995,9.9686,4.5536,0.550928699820252,0.1802476532854,1.46942800788955,101.5,18.8636,0.8521,0.43,-0.00748951467944877,0.0651,0.0195,10014,21.9995,0.5829
"32",4,14.498,9.9743,18.1937,4.2298,0.717972364396489,0.191082215151934,0.189101783913482,13.5359,39.9963,1.6614,0.2008,0.194888899135683,0.0708,0.2684,19518.3,9.9743,0.9966
"33",3,52.6248,37.7209,17.4307,4.5434,0.654709638794652,0.202255038914388,1.19079837618403,3.0246,45.021,2.3194,2.1759,0.0486429854320495,1.3221,0.1519,20044,37.7209,0.4718
"34",4,42.0899,14.4775,2.8859,1.5433,0.640672074159907,-0.0402085747392816,0.49131341209173,1.7971,40.7648,0.6032,0.1974,-0.0661645422943221,0.1723,-0.1693,8630,14.4775,0.6281
"35",4,36.3855,19.2771,4.3581,2.1944,0.480524208227157,0.0247542773935202,0.534965034965035,2.1622,38.1871,1.0612,0.5979,0.00637058609392064,0.1416,-0.1426,5494,19.2771,1.5894
"36",5,10.9488,5.1641,4.6031,1.362,0.678047839506173,0.193479938271605,0.441035474592522,2.5545,40.8565,1.3432,0.7296,0.0690586419753086,0.1486,0.078,5184,5.1641,0.6822
"37",4,19.6869,13.4929,17.1286,6.7839,0.588277919863598,0.360897982381358,0.679006968641115,7.7204,34.3819,1.8336,1.2682,0.135976129582268,0.6129,0.1631,7038,13.4929,1.1166
"38",6,16.3951,12.3794,28.2033,12.5538,1.21068635402096,0.0738199058241842,1.39154373003663,15.8659,28.1329,2.3288,2.2164,0.130550208047682,0.4248,0.0661,1303.307,12.3794,1.2842
"39",5,4.835,2.5355,5.2297,1.9264,0.619119835987306,-0.398826073524869,0.232903530682509,3.0162,19.6225,1.7498,1.0344,0.311933046872806,0.3237,0.1965,3560.7,2.5355,1.1021
"40",4,19.193,8.045,11.9665,6.1901,0.462352644695209,0.0827989807633075,1.30305434351448,3.319,24.1229,1.3027,0.689,0.0213647691316887,0.0738,0.0337,35713,8.045,1.8109
"41",4,25.9429,-0.4963,-2.257,-1.0241,0.546259614091388,0.0623950230362857,0.172938564472956,-0.0801,38.0227,0.5592,0.1973,-0.128041086849768,0.1963,-0.2814,3197.13,-0.4963,0.8278
"42",4,66.4298,68.3813,-17.664,-3.7356,0.558223622649819,-0.0204385602517174,2.1080648487859,1.6308,41.9915,1.2204,0.6,0.00714012632738612,0.0836,0.0455,15576.195,68.3813,0.7065
"43",6,17.9601,10.4321,26.4204,5.7708,0.738745280481227,-0.0141533298304248,0.810926949048496,2.0906,61.3604,2.4913,1.2584,0.172676198851845,0.3896,0.1771,717.499,10.4321,0.5813
"44",5,47.7814,26.8427,16.7937,5.455,0.611746984985884,0.187245166475927,2.46071991592223,4.0396,45.9827,1.2924,1.1966,0.0160299591560915,0.9826,0.0833,6804.197,26.8427,0.5782
"45",5,33.4719,22.9805,-50.0981,-14.4706,0.735973267400039,-0.358971130343334,0.57026977827939,3.0151,37.9283,0.6564,0.6253,-0.0475317574281986,0.0836,-0.0715,3970.882,22.9805,1.561
"46",7,49.2503,9.9625,1.3338,0.8315,0.370605939322714,-0.438315926668122,1.74330691796959,0.8171,24.1725,1.0713,0.5782,0.00229325724504649,0,0.0614,1451.647,9.9625,1.606
"47",3,53.5343,38.0696,16.1556,4.5395,0.699855526125692,0.2205634481098,2.26885880077369,2.8676,48.5011,0.9072,0.6905,-0.00288947748615459,0.0019,-0.0881,16612,38.0696,1
"48",6,7.35,6.3673,-130.7433,-30.6379,6.07245066095122,-0.879350074953232,-0.222652069476705,1.7592,77.431,1.1276,0,0.0997187705192215,0,0.0036,161.434,6.3673,1
"49",6,-22.3899,-30.9073,-145.4856,-19.1433,0.702097442120351,-0.269865419292141,0.412136671525337,-2.6628,49.0998,1.8609,0.8336,0.175180864362851,0.291,0.4593,1146.301,-30.9073,0.6446
"50",4,29.3329,22.9224,157.1531,15.942,1.02480750478413,-0.154477814347863,0.670497691499372,17.3544,91.2571,0.6998,0.1148,-0.0882526256196764,0.0828,-0.0109,3716.456,22.9224,1.0856
"51",4,13.6124,6.4929,18.8397,6.465,0.368142280524722,0.0621594349142281,0.40194489465154,1.7267,39.4147,2.6029,1.5462,0.199596367305752,1.0519,0.1809,4955,6.4929,1
"52",3,47.1476,18.4174,-24.2252,-2.0353,0.954987576206512,0.471953662427305,0.773726361127936,1.0449,88.0736,1.3895,1.294,0.0241954632252369,1.0533,0.045,1196.092,18.4174,1
"53",6,48.8073,23.6657,2.4062,1.7372,0.252769890641267,-0.47965269352882,0.747897150949608,3.2301,10.8582,1.9658,0.992,0.046061665935314,0.8337,0.4752,4648.92,23.6657,0.5057
"54",4,76.6323,64.7521,37.9223,6.8867,0.823855981416957,-0.0447386759581882,1.09746588693957,2.3617,17.6539,0.5757,0.3132,-0.0151684088269454,0.0247,-0.2892,43050,64.7521,1
"55",3,22.7399,8.8723,20.8081,1.8748,0.836150959689892,0.0328484573140762,0.780061948749217,1.1097,54.5423,0.8047,0.3725,-0.0176108971355672,0.1266,-0.0565,8874.846,8.8723,0.7245
"56",3,21.0362,12.3486,12.3648,3.2525,0.739996901126595,-0.00989060351634206,0.744473493252228,2.1477,48.5392,0.7012,0.4207,-0.0336331320758993,0.0826,-0.0765,5117.989,12.3486,1.0651
"57",4,22.1672,12.5906,6.7898,2.515,0.654672117839801,0.308783374905908,0.4207910321489,4.2274,42.1694,2.0604,1.8711,0.147993446784644,1.142,0.2317,6775.3,12.5906,1
"58",3,38.573,20.9764,6.2475,2.0927,0.675685141406182,0.249978110498205,0.848159509202454,2.9398,26.9766,0.8037,0.4785,-0.0112074249190088,0.0506,-0.074,11421,20.9764,1
"59",1,70.6492,48.4058,4.5968,0.6898,0.848912841479279,0.130443535897912,0.0654734303997032,1.973,81.4022,3.4361,2.1077,-0.0248095149600446,1.7974,0.4593,64572,43.927,1
"60",5,5.5225,3.98,7.8584,3.7778,0.50927320899787,0.147799885708348,0.615176151761518,3.577,32.1263,3.4361,1.1473,0.51368902280638,0.0394,0.2867,1924.9,3.98,1.1541
"61",4,9.1851,5.4369,11.4583,4.1417,0.646911519198664,0.219532554257095,0.0942744323790721,4.3367,33.6728,1.806,0.5859,0.272621035058431,0.1323,0.228,5990,5.4369,1.2499
"62",4,56.4083,55.8042,8.5349,3.8938,0.120274353039357,0.153669095475409,2.90771690632326,2.4252,46.4845,1.8609,0.9617,0.170646448900541,0.4581,0.2818,10161.36,55.8042,0.7601
"63",7,33.9562,11.6548,-0.6014,-0.2361,0.569159898169475,0.156786681213885,0.352358303606817,0.578,35.6124,1.2493,0.5973,0.0254172222895705,0.4511,0.2765,24747,11.6548,1.4612
"64",3,49.778,34.5895,10.4029,3.2352,0.623380271140739,0.05460265148678,0.637691570881226,2.9353,43.4162,0.6164,0.2009,-0.0299977529773051,0.0886,-0.1476,53404,34.5895,0.5025
"65",3,70.2329,36.9467,8.8596,2.7436,0.687382670964575,0.118387092367626,0.989709433943238,2.3119,46.808,0.5223,0.4243,-0.0392224109375602,0,-0.2451,4831.498,36.9467,1
"66",5,31.6153,25.855,8.9689,5.3721,7.0304758121994,0.209281155522311,1.01715433685117,4.3946,30.8584,5.6849,5.5617,0.362039261386719,4.6825,1.2264,991.967,25.855,1.5894
"67",6,13.3353,8.5901,-65.8721,4.7793,1.20574092769419,-0.227310963740423,0.220323214143431,2.0077,98.6493,1.2143,0.7931,0.0484154533466246,0.1624,0.0316,1888.963,8.5901,0.5344
"68",7,25.128,4.5986,-3.194,-7.0403,1.05804201202273,-0.219269179926088,0.338147925435959,0.3697,90.1596,2.6675,0.8252,0.267572392099347,0.5856,0.2152,1036.37,4.5986,1
"69",6,20.1241,-3.7629,-15.1548,-3.861,0.775399444473431,-0.0625063545725293,0.290144899056162,-0.2607,63.4306,1.6418,1.2828,0.0450494056096158,0.6644,0.0829,12323.803,-3.7629,1
"70",4,6.1413,3.7546,24.0843,6.3219,0.744477926824762,-0.436441147717767,0.516058347081628,3.7102,46.2139,1.1626,0.7762,0.0321887734362665,0.0802,0.0132,2976.69,3.7546,1.238
"71",4,27.3564,20.6308,23.5246,7.9107,0.14483172031098,0.0124013528748591,0.833512391866211,8.4899,31.1161,1.7617,0.9261,0.125382509260751,0.4335,0.1835,14434.6832,20.6308,0.8784
"72",3,48.054,28.6019,9.0229,2.1476,1.03395316062705,-0.0339531606270505,0.832470795834167,1.38,97.3918,0.3976,0.2274,-0.0470813454399578,0.0588,-0.5636,6583.393,28.6019,1
"73",6,7.4283,5.0451,3.8678,1.2414,0.673160257919959,0.198384168268923,0.249949640476795,2.2552,43.0054,1.8661,0.4168,0.221289864582512,0.015,0.2023,1072.5498,5.0451,0.8368
"74",3,7.5041,-0.9973,-9.2573,-1.7173,0.831030771867356,0,0.0493355788140492,-0.5046,26.451,1.35,1.2871,0.072576090849099,1.0175,0.1306,1328.0572,-0.9973,1
"75",6,4.6764,-23.3359,-17.0753,-7.5219,0.585247043230405,0.0213271615258751,0.623418957450013,-3.6896,23.95,1.6925,1.2341,0.0608811432595572,1.0112,0.2895,4455.961,-23.3359,2.3266
"76",4,17.5199,-9.9835,-7.9975,-4.009,0.477809311031943,0.252551174445988,0.640854184641933,-4.7957,21.0796,1.0651,0.6618,0.00911780689571886,0.3829,0.0249,33122,-9.9835,1.3205
"77",6,10.5382,5.7617,9.8981,4.7586,3.9701427953267,0.322044611873308,0.461090577230208,6.1235,17.3035,1.8217,1.1174,0.286484715045689,0.6097,0.2292,942.888,5.7617,1.0733
"78",6,-5.773,-31.7375,-16.2483,-10.5482,0.373708604127288,-0.0906760570673986,1.38345864661654,-41.7407,12.0996,4.7481,3.1575,0.258149711296963,3.1455,0.8714,3862.1,-31.7375,0.1894
"79",2,11.7693,6.3366,9.0229,5.2605,0.424562068883779,0.588143266883163,0.963873775843308,14.4681,12.9495,1.3774,0.9613,0.0411027093654443,0.3739,0.0487,42187,6.3366,1.0076
"80",4,35.4139,29.7477,19.0585,7.3572,0.0348520216864473,0.0983347210657785,0.660988217362922,51.6923,19.4505,2.3133,1.4,0.127393838467943,0.8223,0.3053,13960.424,29.7477,0.7065
"81",4,73.455,38.5242,-6.9959,-0.4351,0.903434407222481,-0.138078254843298,0.374310247242938,0.9994,73.6913,0.4765,0.3874,-0.0526860515773126,0.2436,-0.6721,6372.104,38.5242,0.4701
"82",4,41.7899,27.7324,13.3837,4.4157,0.684258072486372,-0.0647651991290517,0.271480214317991,2.9604,52.975,0.135,0.1148,-0.206911994070139,0.0105,-0.8202,12951.4,27.7324,1.0693
"83",5,13.2888,7.9876,16.1446,4.0595,0.73460331078051,-0.0856932556008345,0.573201410570293,2.8141,49.6042,1.951,0.7874,0.165112991596311,0.0396,0.1536,1025.74,7.9876,0.9458
"84",4,22.5997,14.9055,15.153,6.2736,0.593588688491691,-0.00239839620728148,1.08687562808996,3.949,40.2234,0.8033,0.6095,-0.0213840803557217,0.0114,-0.022,7514.188,14.9055,1.0651
"85",4,49.2494,28.339,14.6277,8.3852,0.412450418686646,-1.08301013662406,1.89975629569456,9.1854,20.8495,2.9646,0.9456,0.133230498016747,0.9344,0.3138,9076,28.339,0.2955
"86",4,9.9798,4.7255,9.3318,3.253,0.688204026549891,0.105263157894737,0.391351468516311,2.9673,46.6854,1.2258,0.2573,0.0573686964664408,0.129,0.0522,36309,4.7255,0.5025
"87",3,10.8671,6.0029,16.3942,6.8232,0.56839860411012,0.333307483520744,0.464298276468519,22.7596,19.3641,1.2598,0.8445,0.0859247770453664,0.1496,0.0475,25790,6.0029,1.2842
"88",2,11.883,1.0105,-17.0753,-0.1061,1,0,0.115012719227531,0.3414,26.4721,1.1565,1.1309,0.0142641283820527,0.1773,0.0153,4900.685,1.0105,2.0148
"89",2,13.1158,4.7392,5.148,0.6569,2.08029276419101,-0.00554667977551104,0.658037123796914,3.5455,8.972,2.0144,1.0854,0.0870443652451763,1.0854,0.1502,1830.825,4.7392,1.0693
"90",7,24.6726,6.0765,-1.6024,-0.7619,0.510170353419781,-0.228960081362827,1.13082437275986,0.7273,43.2749,1.2204,1.0125,0.0156369183829138,0.3692,0.0541,7866,6.0765,1.2514
"91",5,16.2502,5.7697,6.1745,1.7901,0.686265001351842,0.200095446747546,0.617278008657207,1.5226,47.865,1.9013,1.1735,0.112433766981006,0.6429,0.1201,5196.615,5.7697,1.5894
"92",4,7.8813,6.1733,12.2711,6.4702,0.461020959192335,0.381825734384454,0.366265445249254,9.4703,23.9988,1.1122,0.4711,0.0190267204869107,0.1456,0.0147,11073.9,6.1733,1
"93",7,1.8607,-0.8255,-71.5223,-2.1123,0.979804512498789,-0.151307744876505,1.09699781560847,-0.1251,79.5123,2.6168,1.1999,0.234503831984436,0.7264,0.2448,381.917,-0.8255,1.5874
"94",7,-10.7873,-40.839,-32.179,-14.286,0.591408723767617,-0.367721938263877,1.56913494809689,-3.3044,46.2764,2.9654,0.7205,0.120824850035554,0.6871,0.3376,822.695,-40.839,0.0733
