"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"20",4,"BBB","BBB",52.1849,51.7753,15.5813,4.4523,2428.2,3412.815,5374.6,1387.4,100.9,3098.2,2.4897,45.1792,1.951,1.0344,0.8775,1256,0.0647,51.7753,0.7601,6.4297,21.8644,0.634989580619953,0.258140140661631,0.032567297140275,0.233691809623042
"21",2,"AA","AA-",28.5018,9.0551,4.5518,1.2669,1466.101,1734.417,2360.517,547.745,206.389,219.991,1.2536,63.1337,1.6209,1.2738,1.1852,136.601,0.0647,9.0551,1,-3.5511,4.9197,0.734761495045365,0.232044505504514,0.938170197871731,0.0578691024042614
"22",4,"BBB","BBB",66.0403,44.4019,2.9732,0.4283,2753.6,637.562,6157.2,317.1,154.4,517,2.5328,45.93,1.1683,0.9261,0.6129,237.3444,-0.0519,44.4019,0.6997,3.7172,5.5583,0.103547391671539,0.0515006821282401,0.298646034816248,0.0385474566361333
"23",4,"BBB","BBB+",44.308,25.9057,0.9061,0.5017,21244,34131,56308,0,2143,5439,1.8905,40.5307,1.0739,0.4721,0.1521,402,0.0198,25.9057,0.8368,31.6074,27.8332,0.606148327058322,0,0.394006251149108,0.00713930524969809
"24",4,"BBB","BBB+",66.0403,39.2617,-0.7506,-0.0974,10319,17560,35691,0,1212,1678,1.7155,30.8313,0.8784,0.3105,0.0685,-204,0.0114,39.2617,0.6682,1.1305,12.4512,0.492000784511501,0,0.722288438617402,-0.00571572665377826
"25",6,"B","B+",7.345,7.1189,7.8002,3.0578,2394.0413,3263.4479,7215.5681,1793.7283,-207.9723,869.4066,3.8235,34.8486,4.7505,0.1641,0.1641,3260.6667,1.2702,7.1189,1,-19.5324,10.4016,0.452278719398407,0.248591417216338,-0.239211779620721,0.451893275042335
"26",4,"BBB","BBB-",19.7625,4.9605,1.4818,0.9582,996.718,2432.285,7427.248,2825.596,454.54,277.41,1.4637,13.4197,6.5137,4.9893,3.8298,1529.568,0.7344,4.9605,1.1317,-9.3518,-2.5994,0.327481322826436,0.380436468527778,1.63851339173065,0.205940073631579
"27",3,"A","A",49.1118,37.4941,23.631,9.9202,12245,25743,43784,17634,5923,4287,10.3959,32.6535,0.6601,0.2979,0.0149,-1457,-0.0747,37.4941,1.0863,13.8381,6.6809,0.587954503928376,0.40274986296364,1.38161884767903,-0.0332769961629819
"28",4,"BBB","BBB+",48.5553,24.2382,16.1756,7.2368,20167,43130,78121,25424,8829,6637,6.6124,29.174,0.6761,0.4662,0.0948,-2150,-0.0853,24.2382,1.327,9.5568,5.3499,0.552092267124077,0.325443862725772,1.33026970016574,-0.0275214090961457
"29",3,"A","A-",35.9252,21.9995,9.9686,4.5536,1889,5517,10014,1805,745,507,101.5,18.8636,0.8521,0.43,0.0651,-75,0.0195,21.9995,0.3537,109.3394,5.1785,0.550928699820252,0.1802476532854,1.46942800788955,-0.00748951467944877
