"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"82",4,"BBB","BBB",9.9798,4.7255,9.3318,3.253,13662,24988,36309,3822,3611,9227,2.9673,46.6854,1.2258,0.2573,0.129,2083,0.0522,4.7255,0.7065,31.9177,43.383,0.688204026549891,0.105263157894737,0.391351468516311,0.0573686964664408
"83",3,"A","A-",10.8671,6.0029,16.3942,6.8232,4663,14659,25790,8596,3960,8529,22.7596,19.3641,1.2598,0.8445,0.1496,2216,0.0475,6.0029,1.2842,0.1168,7.3691,0.56839860411012,0.333307483520744,0.464298276468519,0.0859247770453664
"84",2,"AA","AA-",11.883,1.0105,7.7789,-0.1061,1110.436,4900.685,4900.685,0,51.361,446.568,0.3414,26.4721,1.1565,1.1309,0.1773,69.904,0.0153,1.0105,1.606,7.048,3.899,1,0,0.115012719227531,0.0142641283820527
"85",2,"AA","AA",13.1158,4.7392,5.148,0.6569,163.134,1103.6564,1830.825,-1801,103.375,157.096,3.5455,8.972,2.0144,1.0854,1.0854,159.363,0.1502,4.7392,1.0076,-37.6445,-1.7699,0.602819166222878,-0.983709529856759,0.658037123796914,0.0870443652451763
"86",6,"B","B+",24.6726,6.0765,-1.6024,-0.7619,3382,4013,7866,-1801,631,558,0.7273,43.2749,1.2204,1.0125,0.3692,123,0.0541,6.0765,1.2514,121.0583,-4.5535,0.510170353419781,-0.228960081362827,1.13082437275986,0.0156369183829138
"87",5,"BB","BB+",16.2502,5.7697,6.1745,1.7901,2359.118,3566.255,5196.615,1039.819,400.148,648.246,1.5226,47.865,1.9013,1.1735,0.6429,584.275,0.1201,5.7697,1.5894,-50.3616,1.7052,0.686265001351842,0.200095446747546,0.617278008657207,0.112433766981006
"88",4,"BBB","BBB",7.8813,6.1733,12.2711,6.4702,2229,5105.3,11073.9,4228.3,687.7,1877.6,9.4703,23.9988,1.1122,0.4711,0.1456,210.7,0.0147,6.1733,0.6281,0.7503,6.0466,0.461020959192335,0.381825734384454,0.366265445249254,0.0190267204869107
"89",6,"B","B",1.8607,-0.8255,-71.5223,-2.1123,297.195,374.204,381.917,-57.787,60.766,55.393,-0.1251,79.5123,2.6168,1.1999,0.7264,89.561,0.2448,-0.8255,0.3537,10.0474,6.783,0.979804512498789,-0.151307744876505,1.09699781560847,0.234503831984436
"90",6,"B","B-",-10.7873,-40.839,-32.179,-14.286,379.903,486.549,822.695,-302.523,79.359,50.575,-3.3044,46.2764,2.9654,0.7205,0.6871,99.402,0.3376,-40.839,0.0733,-37.6445,22.2745,0.591408723767617,-0.367721938263877,1.56913494809689,0.120824850035554
"91",2,"AA","AA",-28.5,-37.1,0,0,2013,4858,5070,28,-96,777,-4.5802,45.1282,1.278,1.2329,1.1673,216,0.073,-37.1,1,-9.3518,5.8918,0.95818540433925,0.00552268244575937,-0.123552123552124,0.042603550295858
"92",6,"B","B",37.0758,-1.2528,-7.7133,-3.3964,712,1197.2,2158.5,-2275.3,211.6,171.9,-0.1499,33.3889,1.3304,0.5195,0.4852,56.8,0.1715,-1.2528,0.5733,-7.3373,-11.075,0.554644429001621,-1.05411165160991,1.23094822571262,0.0263145703034515
"93",5,"BB","BB",6.9324,-0.9243,-5.501,-2.1745,725,1217,1921,-299,19,260,-0.4444,37.7408,1.7769,0.6,0.0769,202,0.1005,-0.9243,1.028,-81.25,1.2872,0.633524206142634,-0.155648099947944,0.0730769230769231,0.105153565851119
"94",6,"B","B",23.0196,8.177,22.3611,4.9753,378.225,612.533,792.652,-79.855,157.944,157.303,2.7058,54.216,0.7462,0.4596,0.0352,-39.926,-0.0406,8.177,1.4274,89.8447,11.6639,0.772764088149655,-0.100744084415355,1.00407493817664,-0.0503701498261532
"95",4,"BBB","BBB",76.9964,49.0483,38.305,3.0821,6496.675,8967.916,10478.668,-1466.235,935.695,1397.995,2.7664,68.8514,0.9147,0.4032,0.1918,-119.21,0.0455,49.0483,0.7372,10.0474,15.9533,0.855825950397512,-0.139925704297531,0.669312122003298,-0.0113764459375944
"96",5,"BB","BB+",23.1148,17.1466,20.627,11.1393,860,2684,6205,2884,980,741,6.7537,13.892,2.695,1.8367,1.1781,1256,0.2213,17.1466,0.948,-50.3616,5.9971,0.432554391619662,0.464786462530218,1.3225371120108,0.202417405318292
"97",4,"BBB","BBB+",56.8519,31.713,14.6381,3.4333,7577,10240,14581,135,876,1463,1.7746,51.9649,0.2399,0.1866,0,-1112,-0.9912,31.713,1,1.3201,16.0844,0.702283793978465,0.00925862423702078,0.59876965140123,-0.0762636307523489
"98",4,"BBB","BBB+",35.6643,19.021,10.6977,2.5908,2674,4067,5510,331,172,485,1.8255,48.5481,1.2619,0.6928,0,127,0.0392,19.021,1,-3.0418,4.9958,0.738112522686025,0.0600725952813067,0.354639175257732,0.023049001814882
"99",4,"BBB","BBB+",39.6989,21.9768,8.9143,2.2071,13740,23241,31842,1173,1525,4166,1.973,49.5666,0.5967,0.41,0.0533,-1680,-0.2783,21.9768,0.5206,5.761,26.4395,0.729885057471264,0.0368381383078952,0.366058569371099,-0.0527605049934049
"100",6,"B","B",53.1319,13.286,-4.636,-2.8293,638.936,982.605,2331.361,72.412,263.856,125.135,2.2164,27.5527,0.6689,0.5016,0,-41.433,-0.0456,13.286,1.8588,0.777,17.8841,0.421472693418136,0.0310599688336555,2.10857074359691,-0.0177720224366797
"101",4,"BBB","BBB+",28.0535,14.8895,7.7789,1.8456,5921,36911,48822,6396,944,1978,5.7313,13.4755,0.7907,0.2133,0.2133,-414,-0.1038,14.8895,1.7643,60.5989,18.7131,0.756032116668715,0.131006513457048,0.477249747219414,-0.00847978370406784
"102",3,"A","A+",12.2292,6.9181,-71.5223,0.0091,226.073,276.235,216.308,-59.304,3.288,45.437,1.0014,113.0023,0.4727,0.0337,0.0337,-23.958,-0.0933,6.9181,0.9094,-41.2308,13.2763,1.27704476949535,-0.274164617120033,0.0723639324779365,-0.110758732917876
"103",3,"A","A+",41.1083,18.5395,8.487,1.0018,407.427,443.426,510.709,79.109,51.924,24.914,1.2467,81.4906,1.4825,1.2764,0.8701,12.021,0.1185,18.5395,1,-4.0117,2.0299,0.868255699429616,0.154900344423145,2.08412940515373,0.0235378659863053
"104",5,"BB","BB",6.7794,3.6363,22.0271,5.5407,3823,6974,9283,53,901,1896,2.969,42.4216,1.1624,0.6002,0.1287,308,0.0102,3.6363,0.8784,47.9648,43.383,0.751265754605192,0.00570936119788861,0.475210970464135,0.0331789292254659
"105",4,"BBB","BBB",27.0274,19.9917,10.6018,4.9885,10785,16383,33153,-1883,2532,1457,4.7763,33.092,0.6774,0.5635,0.0885,-470,-0.0652,19.9917,1.1436,29.3074,24.1028,0.494163424124514,-0.0567972732482732,1.73781743308167,-0.014176695924954
"106",4,"BBB","BBB",19.8153,4.5964,3.9632,1.9093,3711,8695,16998,6242,1225,1566,0.9721,26.1266,0.9355,0.3863,0.0741,-101,-0.0444,4.5964,0.7245,-19.5324,7.6573,0.511530768325685,0.367219672902694,0.782247765006386,-0.00594187551476644
"107",5,"BB","BB-",27.7809,6.1361,0.429,0.1917,1482.161,1742.408,3269.84,-969.456,288.159,216.069,0.8286,45.709,1.9335,1.326,0.3457,201.696,0.1435,6.1361,2.0148,6.1877,-9.2383,0.532872556455362,-0.296484231644362,1.33364341946323,0.061683752110195
"108",5,"BB","BB+",42.955,25.4786,89.578,6.7357,6156.9,8653.8,9725.9,-64.1,1211.8,1264.4,2.5371,64.5164,0.8787,0.3757,0.0111,-153.4,-0.0519,25.4786,1,5.8098,1.3872,0.889768556123341,-0.00659064970851027,0.958399240746599,-0.0157723192712243
"109",2,"AA","AA+",-6.0681,4.876,2.1813,1.2273,385.354,1389.287,3007.021,-12.988,94.704,436.549,3.5576,12.9509,0.9771,0.9654,0.8775,-9.981,-0.015,4.876,1,-37.6445,-8.8622,0.462014398968281,-0.0043192249073086,0.216937846610575,-0.00331923189096451
"110",4,"BBB","BBB",53.0035,-8.2786,-14.3328,-6.2555,1085,6419,11638,490,423,1380,-1.6238,12.0124,0.8399,0.3362,0.0377,-221,-0.232,-8.2786,2.3266,-23.6834,4.202,0.551555250042963,0.0421034542017529,0.306521739130435,-0.0189895170991579
"111",4,"BBB","BBB",56.3578,56.695,9.7152,5.3154,3534.55,3787.296,15188.326,3472.324,568.728,4016.8,4.138,42.3101,1.9094,0.4785,0.1496,4511,0.1771,56.695,0.5829,10.4391,0.6863,0.249355722283022,0.228617953025238,0.141587333200558,0.297004423002245
"112",5,"BB","BB+",23.2916,16.7039,17.1962,6.9615,754.862,1322.443,2229.43,714.051,332.793,501.258,5.3363,35.7198,1.3558,0.9604,0.7175,178.326,0.1296,16.7039,0.9094,17.9676,14.7303,0.593175385636687,0.320284108494099,0.663915588379637,0.0799872613179154
"113",4,"BBB","BBB+",40.8014,23.7842,23.2225,5.9272,17462,27603,37019,7419,4526,5964,4.4424,53.8372,0.858,0.4691,0.0828,-847,-0.0927,23.7842,0.732,4.1053,6.8965,0.745644128690672,0.200410599962182,0.75888665325285,-0.0228801426294605
"114",5,"BB","BB",50.3015,19.0196,9.4301,5.7233,2037.3,3238.3,8437.4,1399.1,1344.9,438.7,4.2387,24.1461,0.8625,0.7199,0.0219,-60.3,-0.0084,19.0196,1.1211,-14.4733,22.0551,0.383803067295612,0.165821224547846,3.06564850695236,-0.00714675136890511
"115",4,"BBB","BBB-",40.5618,21.0674,12.3789,4.8609,4057,9361,15646,1745,1568,2835,3.8793,34.1813,0.7817,0.6113,0.5101,-619,-0.1086,21.0674,0.7331,-7.9778,3.3802,0.598299884954621,0.111530103540841,0.553086419753086,-0.0395628275597597
"116",5,"BB","BB+",12.0189,7.7915,8.9118,2.6701,2145.274,7927.297,11644.724,1555.853,-355.273,4527.873,3.2797,22.9248,1.1374,0.6012,0.2625,622.219,-0.0172,7.7915,1.4274,-10.5057,2.6301,0.680762979010924,0.133610122489807,-0.0784635523125317,0.0534335549730505
"117",5,"BB","BB+",6.8805,3.9634,18.7832,5.1203,5871.7,10423.9,13499.3,126.4,1953.7,4016.8,3.3646,50.9604,0.8097,0.4029,0.251,-764.5,-0.0153,3.9634,1,96.8512,5.639,0.772180779744135,0.00936344847510612,0.486382194781916,-0.0566325661330588
"118",2,"AA","AA-",41.937,27.0942,34.3679,17.3111,0,3743.4,3971.58,2053.594,166.359,1917.986,4.459,42.9519,0.6761,0.1484,0.1484,-621.148,-0.5355,27.0942,1.3205,-37.6445,-0.67,0.942546794978321,0.517072298682137,0.0867362952597151,-0.156398209276912
"119",4,"BBB","BBB+",15.3029,11.2404,13.0071,6.7043,53.9,2277.6,1292.2,564.5,165.1,370.4,8.4511,13.0011,0.8885,0.4033,0.0208,-41.3,0.0257,11.2404,1,-17.6043,-11.075,1.7625754527163,0.436851880513852,0.4457343412527,-0.0319609967497291
"120",3,"A","A-",34.1462,6.5747,6.7382,3.2389,15505,47393,89435,15410,10421,10537,2.8811,20.0928,0.9401,0.5616,0.186,-631,-0.0292,6.5747,1.2715,32.1597,2.3391,0.52991558114832,0.172303907866048,0.988991173958432,-0.00705540336557276
"121",7,"CCC","CCC",7.461,3.0243,-6.7968,-0.0833,294.224,710.926,923.359,-214.931,9.809,405.664,1.0379,60.644,1.2078,0.3048,0.0037,84.29,0.072,3.0243,1.0505,60.5989,7.5745,0.769934554165823,-0.232770785794041,0.0241801096473929,0.0912862711036552
"122",5,"BB","BB",18.1324,9.2783,13.4029,3.9111,1866.3,2599,3638,-1406.2,423.2,538.8,2.5162,53.0181,0.9918,0.6444,0.0492,-4.4,0.0106,9.2783,0.8981,47.1767,11.4589,0.714403518416712,-0.38653106102254,0.785449146250928,-0.00120945574491479
"123",6,"B","B-",14.6979,-18.6461,-16.4565,-5.7501,357.025,582.31,883.996,-193.081,10.63,67.293,-1.7742,42.2496,1.6919,0.9955,0.7905,46.559,0.1421,-18.6461,2.3194,-51.1392,-2.2897,0.658724700111765,-0.218418409133073,0.157965910272985,0.0526687903565174
"124",4,"BBB","BBB-",12.3094,-1.2569,-2.7383,-1.5321,4645,17276,39350,14447,3098,2776,-0.4132,12.2846,1.6192,0.7522,0.3696,1719,0.1894,-1.2569,1.2666,-33.7823,1.3275,0.439034307496823,0.367141041931385,1.11599423631124,0.0436848792884371
"125",5,"BB","BB-",81.7365,52.5077,16.0114,3.1711,3688.391,4676.626,5921.951,1031.055,375.617,161.251,1.852,62.6955,7.0401,6.7676,6.3703,973.967,0.9029,52.5077,1,3.7172,-1.7379,0.789710350524684,0.174107316997388,2.32939330608802,0.164467250742196
"126",4,"BBB","BBB+",39.7128,22.0836,14.6381,5.6386,823,14659,16005,985,2091,9722,2.8396,49.0534,0.5857,0.1003,0.0037,-4028,-0.3276,22.0836,1.1021,-37.6445,-2.5994,0.915901280849734,0.0615432677288347,0.215079201810327,-0.251671352702281
"127",4,"BBB","BBB+",37.8906,20.3097,16.7828,4.9161,17142,27316,37975,4371,3927,5574,3.9223,48.9111,0.7809,0.448,0.096,-1221,-0.0759,20.3097,0.7215,7.2078,10.3414,0.719315339038841,0.115102040816327,0.704520990312164,-0.0321527320605662
"128",4,"BBB","BBB",32.4416,20.3014,16.8302,9.1161,2676,7735,17295,4965,702,3219,5.7923,18.8205,0.954,0.6188,0.2563,-148,0.1424,20.3014,0.7608,36.955,-10.7829,0.447239086441168,0.287077189939289,0.218080149114632,-0.00855738652789824
"129",3,"A","A",15.9203,8.962,7.4999,2.7723,2183,3673,5778.7,1069.7,510.9,714.3,3.7926,37.794,0.7892,0.3465,0,-150.6,-0.0829,8.962,1,12.6999,5.9504,0.635610085313306,0.185110838077768,0.715245695086098,-0.0260612248429578
"130",2,"AA","AA-",90.4462,15.1500812080537,18.2208,1.9691,0,13045.754,14552.542,1446.788,-767.484,1917.986,51.6923,0,2.5996,1.2738,1.0785,1529.568,0.1435,83.9205,2.0148,89.8447,10.4016,0.896458776755291,0.0994182322236211,-0.400150991717354,0.105106585502382
"131",3,"A","A-",78.9721,51.0888,9.0542,2.6353,210.09,1217,459.857,-38.489,46.972,114.763,2.334,67.4318,0.147,0.0684,0.0052,-97.894,-0.5655,51.0888,0.7372,0.7503,7.5745,2.6464748824091,-0.0836977582161411,0.409295678920907,-0.212879221149183
"132",5,"BB","BB+",44.4823,14.2735,2.5528,0.8661,2699,5446,9508,-1455,849,1117,1.4758,33.7821,1.2005,0.7386,0.3679,224,0.1398,14.2735,0.7877,17.6845,-0.67,0.572780816154817,-0.15302902818679,0.760071620411817,0.0235591081194783
"133",4,"BBB","BBB+",63.0404,43.6515,15.251,4.1776,43370,66882,99279,3955,7082,12899,2.4801,50.7972,0.5931,0.2919,0.1041,-5248,-0.4926,43.6515,1.1173,4.8286,11.1484,0.673677212703593,0.039837226402361,0.549034808899915,-0.0528611287382024
"134",4,"BBB","BBB+",62.1275,42.7386,15.251,4.1776,43370,66882,99279,3955,7082,12899,2.4282,50.7972,0.5931,0.2919,0.1041,-5248,-0.4926,42.7386,1,5.1088,9.9311,0.673677212703593,0.039837226402361,0.549034808899915,-0.0528611287382024
"135",4,"BBB","BBB-",17.5431,10.1849,10.0027,4.3919,1381.9,2090.6,3781.8,1069.9,431.6,457.4,5.0988,36.5725,2.3367,1.5004,0.4672,611.4,0.1378,10.1849,0.917,-13.3783,13.2763,0.552805542334338,0.282907610132741,0.943594228246611,0.1616690464858
"136",2,"AA","AA+",10.5719,3.0745,4.131,1.329,345.496,4593.726,6816.415,0,274.223,314.267,4.3529,5.0686,1.3218,1.2228,0.6272,101.12,0.0317,3.0745,1,-9.5273,6.1608,0.673921115425044,0,0.872579685426723,0.014834777518681
"137",2,"AA","AA",11.8951,6.6781,16.8302,2.1349,205.021,2238.029,2238.029,183.529,74.151,301.168,5.2194,9.7151,1.0002,0.9617,0.8066,0.066,0.0264,6.6781,2.0148,-9.3518,17.8841,1,0.0820047461404656,0.2462114168836,2.94902344875781e-05
"138",2,"AA","AA+",14.5592,8.7297,7.8002,4.174,709,10727,10727,0,302,1134,7.9211,6.6095,1.3007,1.2716,1.0785,341,0.2048,8.7297,0.5782,-4.7438,5.4738,1,0,0.2663139329806,0.0317889437867064
"139",2,"AA","AA",12.2421,6.4299,3.6449,1.8087,344.587,1824.145,3649.299,0,140.804,198.047,5.398,9.6614,3.9135,3.8105,3.3868,577.008,0.4553,6.4299,1,-36.8508,5.9971,0.499861754271163,0,0.710962549293854,0.158114750257515
"140",2,"AA","AA",56.4962,28.6213,4.1926,2.6742,893.209,1222.151,3063.179,0,254.73,213.436,5.2,29.1595,1.5211,1.3372,1.1353,111.216,0.2631,28.6213,1,-3.9516,2.776,0.398981254441872,0,1.19347251635151,0.0363073787068924
"141",2,"AA","AA",61.0653,48.5919,15.251,5.4433,55.7546,804.815,792.487,584.2259,62.6018,43.4473,21.881,7.0618,2.5467,2.5467,1.7974,67.2005,0.0487,48.5919,2.3194,-9.5273,-8.8622,1.01555609114093,0.737205657632239,1.44086744170524,0.0847969745875958
"142",5,"BB","BB-",50.6978,13.8369,1.2446,0.5405,2017.737,3412.815,5866.12,-1791.039,823.465,416.21,3.1145,34.8002,0.8353,0.5777,0.0697,-68.529,-0.0551,13.8369,1.2637,13.4405,5.9875,0.581784041240206,-0.305319188833505,1.97848441892314,-0.0116821681111194
"143",4,"BBB","BBB-",2.0504,-3.2602,-5.5866,-3.1716,658,2194,4668,1859,115,837,-3.6136,22.7292,1.3704,0.2652,0.0191,310,0.1087,-3.2602,0.8656,-90.2182,6.5632,0.470008568980291,0.398243359040274,0.137395459976105,0.0664095972579263
"144",4,"BBB","BBB+",44.5596,27.8929,0.8754,0.5105,1895,3843,9567,955,622,756,2.0062,23.4661,0.2923,0.2646,0.0225,-535,-0.8243,27.8929,1,-61.4061,-9.136,0.401693320790216,0.099822305843002,0.822751322751323,-0.0559213964670221
"145",6,"B","B+",12.3616,3.2794,4.0104,1.3774,1442.913,4455.488,6758.055,1640.077,697.17,2275.207,2.1544,29.2829,0.7783,0.6264,0.5624,-504.487,-0.0395,3.2794,0.7204,-29.9901,10.2787,0.659285548874639,0.242684766548955,0.306420470752771,-0.0746497328003397
"146",4,"BBB","BBB",10.529,5.9031,2.8255,0.5282,16962,34638,47813,4766,3664,10783,3.4476,44.2725,1.1764,0.3188,0.1913,1902,0.0414,5.9031,0.804,31.9177,5.1785,0.724447326041035,0.0996800033463702,0.339794120374664,0.0397799761571121
"147",3,"A","A",9.9532,6.5664,8.6242,4.3702,102.445,223.629,392.764,90.581,27.52,44.549,5.5136,26.0831,1.9916,1.0423,0.4581,44.173,0.0812,6.5664,1.2499,-18.4635,3.4524,0.569372447576662,0.230624497153507,0.617746750768816,0.112467028546404
"148",3,"A","A+",47.9801,26.1581,2.1829,0.4037,584.702,637.562,798.498,183.529,40.794,42.825,0.9877,74.5215,1.9094,1.4111,1.1494,38.943,0.2818,26.1581,1,-1.9029,-0.7021,0.798451592865605,0.22984277981911,0.952574430823117,0.0487703162687947
"149",5,"BB","BB+",58.6652,29.407,5.5196,2.9821,1014.8,2897.3,7117.2,-3453.8,521.8,408.4,6.2218,14.5212,0.9833,0.3972,0.3888,-6.8,-0.023,29.407,0.1613,23.2783,-10.6301,0.407084246613837,-0.485275108188614,1.27766895200784,-0.000955431911425842
"150",6,"B","B-",36.915,27.2156,-71.5518,24.6134,153.655,343.538,326.878,-6612.462,144.759,65.74,3.7881,47.8533,2.1446,2.0027,0.6755,75.243,0.1435,27.2156,0.4252,-16.0382,-28.5024,1.05096702745367,-20.229143594858,2.20199269850928,0.230186797520788
"151",3,"A","A+",0.3112,-2.954,0.429,3.6962,308.899,721.9979,1397.976,-1420.1,34.099,213.428,4.0396,22.3952,0.5086,0.4463,0.1544,-104.869,-0.1354,-2.954,1.8588,-62.0127,17.8841,0.516459438502521,-1.01582573663639,0.159768165376614,-0.0750148786531385
