"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"48",6,"B","B",-6.7381,4.8182,0.1713,-25.4258,-9.5902,216.856,476.614,-223.027,26.507,87.982,0.0787,46.0945,2.4136,1.0284,0.0451,124.373,0.1712,0.1713,-0.467940513707109,0.301277534041054,0.260951209993832
"49",6,"B","B",-12.5888,5.3891,0.4325,-31.2809,-14.5229,250.802,575.166,-160.533,20.788,78.872,0.1611,43.7135,2.6881,1.152,0.1951,133.144,0.1891,0.4325,-0.279107249037669,0.263566284613044,0.231487953043121
"50",4,"BBB","BBB",1.7856,5.201,3.4154,9.6933,3.9831,4070,13943,4577,960,3230,4,32.1093,1.226,0.5015,0.2331,730,0.0195,3.4154,0.328265079251237,0.297213622291022,0.0523560209424084
"51",3,"A","A-",0.2995,5.9188,2.2359,0.8872,0.4977,143,13189,3357,1054,5093,10.3922,9.1667,1.4434,1.0952,0.5413,2258,0.1133,2.2359,0.25453029039351,0.206950716669939,0.17120327545682
"52",5,"BB","BB-",6.7861,25.4752,12.0721,1.4261,1.0643,957.999,5043.265,-42.494,74.382,169.897,1.2773,19.1952,8.8029,8.7666,8.1923,1325.695,1.5851,12.0721,-0.00842589076719149,0.437806435663961,0.262864434052147
"53",4,"BBB","BBB-",4.8825,14.9468,7.9695,7.7145,3.1668,964.818,3140.693,813.819,182.546,330.251,5.1138,32.6792,2.3326,1.5558,0.5868,440.104,0.2011,7.9695,0.25912083734386,0.55274927252302,0.140129582865947
"54",4,"BBB","BBB-",7.292,15.7203,11.0913,12.8634,5.9536,766.675,2799.027,862.507,312.895,258.699,6.6775,27.9367,2.8463,2.0945,1.2695,477.627,0.2598,11.0913,0.308145294775649,1.20949443175273,0.170640368956784
"55",4,"BBB","BBB",2.7244,5.957,4.3132,14.6078,6.7149,1005,4425.6,1366.8,450.2,1126.8,7.8142,22.8715,1.0357,0.4033,0.1346,40.2,0.0014,4.3132,0.308839479392625,0.399538516151935,0.00908351409978308
"56",2,"AA","AA",0,20.3953,10.2686,-4.1568,-0.6308,2704.481,3248.491,28.078,79.197,293.75,1.0868,85.1514,3.8742,0.6247,0.3024,844.3,0.2537,10.2686,0.00864339781147616,0.269606808510638,0.259905291410689
"57",5,"BB","BB-",1.3514,11.1227,5.8212,3.9098,1.2031,503,1118,-54,127,164,1.6471,44.9911,1.7744,1.2256,0.6768,127,0.0847,5.8212,-0.0483005366726297,0.774390243902439,0.113595706618962
"58",5,"BB","BB-",-12.1951,-6.3627,-13.5737,-36.6242,-9.3954,542,1044,26,-13,146,-2.6122,51.9157,0.863,0.2192,0.137,-20,0.0111,-13.5737,0.024904214559387,-0.089041095890411,-0.0191570881226054
"59",6,"B","B+",-3.1551,5.2654,-2.0296,-15.388,-2.9536,300.066,749.993,-185.82,63.273,254.573,-0.6147,41.9295,1.2844,0.8466,0.0055,72.391,0.1177,-2.0296,-0.247762312448249,0.248545603815016,0.0965222342075193
"60",6,"B","B+",4.0198,13.1733,9.354,15.0799,5.2893,208.288,793.598,-19.287,97.497,183.353,3.4263,26.8424,1.5876,1.0846,0.1793,107.733,0.095,9.354,-0.024303236651302,0.531744776469433,0.135752610263635
"61",6,"B","B+",4.9715,10.797,5.1613,18.7009,5.5391,1416,5047,633,334,908,2.386,30.0376,1.5925,0.6795,0.2698,538,0.0826,5.1613,0.125421042203289,0.36784140969163,0.106597978997424
"62",3,"A","A-",14.5778,61.1556,38.6667,3.4849,2.6363,2766,4710,11,439,163,2.6547,58.7261,0.8957,0.6994,0,-17,-0.1261,38.6667,0.00233545647558386,2.69325153374233,-0.00360934182590234
"63",4,"BBB","BBB",10.8191,36.8346,23.3351,9.9174,3.0523,2159.2,5269.4,530.6,237.2,880.1,2.3889,46.4664,0.7747,0.4514,0.0139,-198.3,-0.0804,23.3351,0.100694576232588,0.26951482786047,-0.0376323680115383
"64",3,"A","A-",2.4363,18.7049,5.7221,2.7233,0.9124,3015,16686,4404.6,224,1723,2.5683,19.2976,0.9855,0.6088,0.0226,-25,0.0327,5.7221,0.263969795037756,0.130005803830528,-0.00149826201606137
