"","x"
"1",49.861
"2",40.523
"3",36.608
"4",13.031
"5",27.821
"6",21.126
"7",36.608
"8",44.403
"9",21.126
"10",49.861
"11",36.015
"12",32.455
"13",20.547
"14",36.341
"15",28.9
"16",39.922
"17",49.861
"18",27.719
"19",38.281
"20",26.078
"21",28.136
"22",39.069
"23",48.519
"24",38.281
"25",49.861
"26",13.031
"27",21.126
"28",36.341
"29",24.478
"30",62.418
"31",30.895
"32",34.806
"33",13.379
"34",27.719
"35",27.821
"36",13.031
"37",26.078
"38",20.547
"39",56.481
"40",24.478
"41",28.9
"42",28.9
"43",23.627
"44",16.418
"45",48.519
"46",36.341
"47",36.015
"48",40.523
"49",62.418
"50",49.861
"51",36.608
"52",49.861
"53",28.136
"54",30.895
"55",25.603
"56",44.403
"57",39.922
"58",32.455
"59",16.418
"60",30.895
"61",13.379
"62",16.94
"63",42.196
"64",48.519
"65",13.379
"66",23.627
"67",21.126
"68",36.102
"69",36.015
"70",34.806
"71",21.126
"72",25.603
"73",28.136
"74",1.813
"75",39.922
"76",13.379
"77",48.519
"78",54.864
"79",25.603
"80",30.917
"81",36.102
"82",30.917
"83",16.94
"84",29.101
"85",13.379
"86",40.523
"87",39.922
"88",34.806
"89",13.379
"90",62.418
"91",20.547
