"","x"
"1",109.948
"2",155.939
"3",129.782
"4",59.288
"5",13.379
"6",81.678
"7",79.649
"8",71.107
"9",49.445
"10",43.347
"11",71.107
"12",125.113
"13",73.942
"14",84.327
"15",109.573
"16",101.271
"17",49.445
"18",155.939
"19",151.353
"20",107.085
"21",49.445
"22",84.869
"23",58.697
"24",111.242
"25",96.822
"26",141.602
"27",129.782
"28",81.678
"29",49.445
"30",49.445
"31",13.379
"32",62.418
"33",155.939
"34",109.573
"35",59.288
"36",114.494
"37",59.288
"38",71.468
"39",65.998
"40",129.782
"41",79.649
"42",43.347
"43",81.678
"44",96.822
"45",13.379
"46",59.288
"47",60.366
"48",151.353
"49",129.782
"50",151.353
"51",177.094
"52",129.782
"53",89.619
"54",71.107
"55",104.357
"56",43.347
"57",104.357
"58",122.564
"59",177.094
"60",129.782
"61",129.782
"62",109.573
"63",60.366
"64",155.939
"65",59.288
"66",49.445
"67",122.564
"68",59.288
"69",155.939
"70",109.573
"71",43.347
"72",65.998
"73",59.288
"74",79.649
"75",43.347
"76",68.759
"77",73.942
"78",1.813
"79",129.782
"80",71.468
"81",73.845
"82",114.494
"83",73.942
"84",59.288
"85",73.845
"86",129.782
"87",49.445
"88",43.347
"89",141.602
"90",125.113
"91",129.782
"92",141.602
"93",141.602
"94",155.939
"95",84.327
"96",122.564
"97",13.379
"98",107.085
"99",1.813
