"","x"
"1",36.52
"2",44.763
"3",34.176
"4",18.683
"5",14.557
"6",15.233
"7",62.418
"8",13.379
"9",18.683
"10",85.591
"11",29.907
"12",44.449
"13",51.008
"14",32.957
"15",33.927
"16",32.957
"17",51.008
"18",26.089
"19",26.089
"20",41.766
"21",32.16
"22",76.609
"23",25.014
"24",19.753
"25",32.957
"26",32.16
"27",44.763
"28",34.176
"29",33.927
"30",29.729
"31",62.418
"32",40.771
"33",62.418
"34",44.763
"35",22.983
"36",36.137
"37",29.139
"38",62.418
"39",23.8
"40",36.137
"41",15.233
"42",19.753
"43",40.771
"44",18.969
"45",15.233
"46",14.557
"47",29.729
"48",14.557
"49",85.591
"50",76.609
"51",23.8
"52",62.418
"53",15.233
"54",39.087
"55",29.729
"56",14.557
"57",44.763
"58",29.139
"59",26.089
"60",44.449
"61",14.557
"62",16.525
"63",13.379
"64",40.771
"65",14.557
"66",62.418
"67",62.418
"68",40.771
"69",36.137
"70",32.639
"71",26.089
"72",33.927
"73",16.479
"74",76.609
"75",22.983
"76",22.983
"77",23.653
"78",44.763
"79",1.813
"80",15.233
"81",62.418
"82",23.8
"83",33.927
"84",44.763
"85",39.087
"86",24.448
"87",26.089
"88",41.766
"89",17.031
"90",13.379
"91",36.137
"92",36.52
"93",40.771
"94",15.233
"95",36.137
"96",29.729
"97",44.763
"98",32.639
"99",29.729
"100",13.379
"101",36.137
"102",62.418
