"","x"
"1",19.02
"2",24.109
"3",26.27
"4",19.02
"5",12.998
"6",13.791
"7",72.496
"8",20.77
"9",15.576
"10",17.584
"11",30.318
"12",42.064
"13",59.785
"14",17.27
"15",14.562
"16",11.708
"17",37.602
"18",34.344
"19",11.708
"20",26.39
"21",18.799
"22",115.024
"23",59.709
"24",10.736
"25",31.533
"26",59.785
"27",11.708
"28",25.759
"29",27.694
"30",31.533
"31",33.491
"32",17.298
"33",33.474
"34",59.709
"35",31.268
"36",24.109
"37",72.496
"38",16.766
"39",37.602
"40",72.282
"41",14.406
"42",30.26
"43",8.3
"44",19.02
"45",31.638
"46",58.958
"47",25.759
"48",13.791
"49",24.109
"50",16.706
"51",62.418
"52",15.576
"53",50.8
"54",72.282
"55",16.525
"56",56.534
"57",8.3
"58",19.02
"59",21.347
"60",59.785
"61",20.4
"62",72.496
"63",11.147
"64",8.3
"65",25.759
"66",33.474
"67",5.984
"68",25.759
"69",24.109
"70",25.759
"71",59.709
"72",30.99
"73",72.496
"74",22.233
"75",33.169
"76",30.99
"77",59.785
"78",25.759
"79",72.496
"80",27.694
"81",11.708
"82",24.109
"83",11.708
"84",23.043
"85",65.228
"86",30.26
"87",25.759
"88",18.799
"89",14.406
"90",58.958
"91",59.709
"92",25.71
"93",46.326
"94",22.357
"95",16.525
"96",56.96
"97",62.418
"98",18.791
"99",19.02
"100",11.708
"101",11.708
"102",14.11
"103",31.638
"104",26.39
"105",30.318
"106",22.357
"107",59.785
"108",13.582
"109",17.584
"110",50.8
"111",35.624
"112",24.109
"113",72.496
"114",17.27
"115",15.576
"116",1.813
"117",15.576
"118",33.169
"119",17.933
"120",15.576
"121",27.984
"122",18.791
"123",115.024
"124",15.576
"125",59.785
"126",24.109
"127",11.708
"128",10.246
"129",22.357
"130",24.109
"131",33.474
"132",56.96
"133",50.8
"134",24.109
"135",31.638
"136",31.533
"137",59.785
"138",25.759
"139",72.496
"140",23.043
"141",33.474
"142",24.677
"143",13.379
"144",19.151
"145",19.02
"146",19.02
"147",19.02
"148",56.534
"149",23.043
"150",19.02
