"","x"
"1",39.824
"2",32.323
"3",45.103
"4",43.659
"5",35.027
"6",48.137
"7",102.808
"8",47.528
"9",102.808
"10",70.22
"11",47.172
"12",30.084
"13",45.514
"14",45.514
"15",156.773
"16",38.456
"17",30.604
"18",16.87
"19",37.956
"20",38.456
"21",30.564
"22",18.196
"23",45.514
"24",58.559
"25",94.964
"26",120.87
"27",39.824
"28",52.783
"29",38.456
"30",42.481
"31",32.323
"32",15.157
"33",302.668
"34",102.808
"35",30.084
"36",45.103
"37",30.084
"38",88.224
"39",102.808
"40",18.338
"41",48.137
"42",16.87
"43",120.87
"44",38.456
"45",302.668
"46",30.604
"47",70.22
"48",94.964
"49",31.415
"50",30.604
"51",70.22
"52",33.834
"53",58.559
"54",30.604
"55",31.45
"56",52.783
"57",30.564
"58",18.196
"59",50.124
"60",88.224
"61",35.733
"62",16.87
"63",20.965
"64",20.965
"65",16.87
"66",26.023
"67",113.703
"68",31.415
"69",35.733
"70",34.111
"71",35.027
"72",32.581
"73",48.137
"74",30.084
"75",38.456
"76",15.157
"77",113.703
"78",31.45
"79",31.45
"80",30.084
"81",20.314
"82",18.196
"83",34.111
"84",30.604
"85",43.659
"86",15.429
"87",30.564
"88",113.703
"89",70.22
"90",68.924
"91",30.084
"92",18.196
"93",35.027
"94",36.369
"95",94.964
"96",35.027
"97",20.314
"98",48.137
"99",156.773
"100",67.439
"101",32.323
"102",30.323
"103",67.439
"104",156.773
