"","x"
"1",84.358
"2",20.797
"3",49.687
"4",61.015
"5",171.304
"6",21.697
"7",61.621
"8",33.909
"9",18.684
"10",84.358
"11",17.584
"12",59.917
"13",61.015
"14",17.27
"15",14.562
"16",17.933
"17",1.813
"18",24.512
"19",84.358
"20",11.708
"21",63.073
"22",1.927
"23",17.584
"24",21.697
"25",10.736
"26",33.909
"27",44.879
"28",29.23
"29",27.694
"30",44.002
"31",58.609
"32",20.203
"33",24.512
"34",59.917
"35",63.073
"36",42.627
"37",1.927
"38",22.271
"39",67.282
"40",38.202
"41",18.397
"42",23.245
"43",62.418
"44",46.749
"45",22.303
"46",18.397
"47",17.933
"48",10.736
"49",62.418
"50",44.002
"51",66.238
"52",62.418
"53",49.687
"54",79.344
"55",10.246
"56",31.769
"57",171.304
"58",27.694
"59",32.857
"60",77.79
"61",20.4
"62",43.722
"63",11.147
"64",63.073
"65",40.252
"66",61.621
"67",20.797
"68",5.984
"69",66.238
"70",5.984
"71",33.169
"72",44.002
"73",44.879
"74",1.938
"75",61.436
"76",33.872
"77",33.169
"78",23.245
"79",38.102
"80",38.102
"81",32.027
"82",58.609
"83",63.073
"84",46.447
"85",1.813
"86",29.525
"87",77.79
"88",59.02
"89",37.501
"90",33.169
"91",10.246
"92",33.872
"93",64.724
"94",64.724
"95",36.483
"96",46.447
"97",31.769
"98",16.525
"99",34.874
"100",11.147
"101",10.246
"102",1.813
"103",64.724
"104",44.879
"105",61.621
"106",34.874
"107",20.128
"108",20.128
"109",17.933
"110",61.015
"111",70.172
"112",13.582
"113",17.584
"114",59.917
"115",20.922
"116",1.813
"117",17.933
"118",79.344
"119",22.303
"120",1.813
"121",64.724
"122",27.694
"123",17.933
"124",62.418
"125",61.015
"126",29.23
"127",48.502
"128",66.238
"129",64.724
"130",1.927
"131",10.246
"132",10.246
"133",64.724
"134",38.202
"135",66.238
"136",27.694
"137",29.525
"138",1.927
"139",53.941
"140",57.409
"141",1.938
"142",84.358
"143",70.172
"144",33.169
"145",48.502
"146",43.722
"147",40.252
"148",13.379
"149",46.973
"150",58.609
"151",61.621
"152",1.938
"153",57.409
"154",70.172
"155",59.917
