"","binaire_cote_credit_2016","Cote_crédit","Marge_bénéficiaire.nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","ratio_Fonds_de_roulement_sur_tot_actif","Total_actif","Marge_opérationnelle"
"49","firm_spec","B",-1.2166,22.3617,16.4814,-1.0911,-0.2729,0.8179,55.8172,0.763948561194979,0.0115019256913047,-0.0115596713204838,1.3306,0.3433,0.1099,0.7358,0.106096650687828,1761.705,16.4814
"50","firm_spec","B",-3.2365,18.7357,13.171,-4.3639,-0.8683,1.1519,52.3378,0.728606330478497,-0.00306813688048148,0.0447474334849023,1.6497,0.6697,0.1559,0.4384,0.131380722539125,1476.792,13.171
"51","firm_inv","BBB",8.2226,13.6124,6.4929,18.8397,6.465,1.7267,39.4147,0.476709586276488,0.0621594349142281,0.40194489465154,2.6029,1.5462,1.0519,0.1809,0.199596367305752,4955,6.4929
"52","firm_inv","A",-6.9297,48.4464,15.8309,-10.9269,-1.0724,0.7068,84.5217,0.807637442947257,0.0178095086586574,0.573540814416727,1.3021,1.2593,1.016,0.1383,0.0198582657372405,1137.763,15.8309
"53","firm_spec","BB",-79.5307,33.4169,16.1111,-9.5143,-6.7068,12.8298,12.3301,0.255622281243181,-0.401845883600786,1.25310622347169,12.041,10.2292,10.1074,1.5447,0.208730076518591,4797.919,16.1111
"54","firm_inv","BBB",35.3645,66.8118,53.1012,20.9858,6.0949,4.88,35.0263,0.666338867356973,-0.0675652224214728,0.941530524505589,0.4703,0.4067,0.1513,-0.2711,-0.0356337131948863,17287,53.1012
"55","firm_inv","A",5.7542,25.4542,13.0222,22.6771,1.9674,1.7884,55.2617,0.841030705647014,0.00239000741487684,0.772417572935608,0.9934,0.3838,0.0911,0.0053,-0.000520929717290511,7943.49,13.0222
"56","firm_inv","BBB",3.7344,15.6658,7.9936,4.5572,1.9804,2.9656,30.7986,0.572956853974466,0.391482620445438,0.654294274300932,1.5553,1.0401,0.1956,0.1132,0.062175006989097,5365.5,7.9936
"57","firm_inv","A",15.8787,29.1881,19.4758,11.9144,5.0453,3.2393,31.1638,0.566304171400747,0.415841584158416,1.21794871794872,1.3744,0.9641,0.5051,0.056,0.0236974517123844,6161,19.4758
"58","firm_inv","AAA",52.6781,80.5405,9.10718639455782,11.3271,1.7277,2.5265,78.0353,0.845336163741208,0.133546670046258,-0.386668369301494,2.3133,0.1771,0.112,1.0289,0.0657594575755655,63124,72.9968
"59","firm_inv","BBB",1.1549,6.3433,2.9318,3.2787,1.2999,2.3913,30.5334,0.608624565706111,0.224197833639894,0.356275303643725,2.749,1.1393,0.4802,0.3889,0.441446965052115,4893,2.9318
"60","firm_spec","B",-1.6835,36.1392,10.4751,-0.4797,-0.2313,0.6481,29.9954,0.472103885438588,0.201868295437048,0.41726618705036,1.3817,0.7851,0.6578,0.3577,0.0435764512652056,19483,10.4751
"61","firm_inv","A",9.6519,35.6098,21.6876,5.5624,1.7208,2.2201,47.5096,0.656604876419506,0.030373246492986,0.477687626774848,0.5492,0.1884,0.0682,-0.1871,-0.0371158984635939,47904,21.6876
"62","firm_inv","A",21.0915,68.0792,35.9617,9.3646,3.0627,2.4223,47.1084,0.683001672123385,0.101405278410884,1.17261063292951,0.4127,0.3792,0,-0.2483,-0.0404330126972481,4058.911,35.9617
"63","firm_spec","BB",-11.3648,22.6023,18.0975,-5.3569,-3.1644,3.8929,35.8552,0.776637381688955,0.182618515543609,0.443872590108969,5.4006,4.9688,4.06,1.0289,0.298220520085753,880.201,18.0975
"64","firm_spec","BB",1.7169,15.7705,10.9835,0.8902,0.5556,3.1308,28.4325,0.849882040489982,0.280728020950858,0.9630397841882,4.1694,3.7426,2.683,0.6643,0.213041613288379,730.1658,10.9835
"65","firm_spec","B",-6.7653,3.6992,-1.2853,-65.8721,-9.3609,-0.1541,87.4406,0.547600432570994,-0.141511595305804,0.389951597931309,1.3964,1.1452,0.2492,0.0519,0.0766195377898826,1248.35,-1.2853
"66","firm_spec","B",-52.8168,31.7453,11.8385,6.1449,-11.8693,0.47,50.6256,0.55967398140116,0.00941557116562427,0.756612261240255,1.688,1.4761,1.3906,-2.1305,0.0305686908714583,955.651,11.8385
"67","firm_inv","BBB",7.7025,26.0497,18.8941,21.0832,5.8031,8.875,36.0407,0.482732553200927,0.0239925218113835,0.698351223142329,1.7809,0.9984,0.4817,0.1836,0.148836726215206,11569.9676,18.8941
"68","firm_inv","A",6.6495,52.6305,33.1647,1.2677,1.4365,1.2217,104.2837,1.09823251688951,-0.0954317870104588,0.873012331985269,0.3187,0.1771,0.092,-0.4113,-0.0916141334295065,5967.016,33.1647
"69","firm_spec","B",3.4466,7.5573,5.7672,15.5689,4.785,3.823,39.2274,0.674391764300842,0.213903284785761,0.563512423992632,2.5333,0.6604,0.1305,0.2164,0.313524593727069,920.1696,5.7672
"70","firm_inv","A",1.1688,8.5418,-0.2243,-13.062,6.0949,-0.2016,12.9148,0.749116315157046,0,0.0953959032967728,1.1095,1.0567,0.7855,-0.0558,0.0237981559704177,1164.1028,-0.2243
"71","firm_spec","B",-3.1181,41.5451,15.042,-1.9824,-0.7877,1.5609,27.6483,0.604355470906234,0.048677274559099,1.10696874285859,1.3858,0.7372,0.4661,0.0794,0.0272719561921807,4456.556,15.042
"72","firm_inv","BBB",7.1368,29.1663,10.1091,5.46,2.8232,3.9576,16.5499,0.453595784252945,0.262151270923745,0.507986219855935,1.3523,0.7222,0.4131,0.0079,0.0348729076255425,32260,10.1091
"73","firm_spec","B",5.3287,29.9868,3.2925,2.5549,1.5815,1.413,14.7302,0.332127628289957,-0.12048228201735,1.46547314578005,5.1811,3.5867,3.335,0.7694,0.240376415233054,3400.5,3.2925
"74","firm_inv","AA",9.2525,7.8294,0.8718,8.9378,5.1047,1.7895,12.5654,0.399313391270946,0.60863302443943,0.518928663404584,0.9866,0.6217,0.1007,-0.0379,-0.00124837950737024,41654,0.8718
"75","firm_inv","BBB",18.5038,35.4139,29.7477,19.0585,7.3572,51.6923,19.4505,0.45363951696596,0.0983347210657785,0.660988217362922,2.3133,1.4,0.8223,0.3053,0.127393838467943,13960.424,29.7477
"76","firm_inv","BBB",12.2831,73.7685,42.9257,9.1245,1.0683,1.4301,74.9534,0.865370550612562,-0.16679327807194,0.34829150973363,1.1446,0.7037,0.2551,0.4167,0.00883939976760472,3604.204,42.9257
"77","firm_inv","BBB",24.6465,55.1189,42.5299,14.9675,4.689,5.326,57.1959,0.68597068442413,-0.052238070845975,0.384806379219787,0.1341,0.1182,0.0102,-0.8976,-0.178631939792742,10151.6,42.5299
