"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"76",5,"BB","BB+",29.0552,66.9549,50.6714,10.0016,4.087,1765.699,3957.0349,255.874,296.319,2.0867,55.9609,1.1625,1.4875,0.6521,102.562,0.0837,50.6714,0.4054,0.863508583654777,0.0259189020546672
"77",4,"BBB","BBB+",19.1482,40.1181,33.1455,12.8768,8.1562,10.792,442.409,58.656,134.431,18.7784,10.3807,1.2743,1.13,0.9866,36.871,0.1991,33.1455,0.7002,0.436327930313692,0.0833414329274495
"78",5,"BB","BB+",3.9167,25.4127,5.1767,7.6302,1.9868,3957.6621,7866.2949,755.699,1127.996,0.5199,50.3116,0.7098,0.7098,0.2652,-327.292,-0.1363,5.1767,0.4054,0.669948297688999,-0.0416068815319904
"79",5,"BB","BB-",7.3718,14.1641,13.3932,49.8961,18.3621,210.63,1146.481,6.501,450.86,16.1362,21.2714,2.08,0.8014,0.0014,486.933,0.1576,13.3932,0.5038,0.0144191101450561,0.424719642104841
"80",4,"BBB","BBB+",14.3301,44.7494,29.6934,20.2329,5.5817,3981.671,10153.965,1457.159,1019.439,4.4509,39.2185,0.5842,0.4053,0.2126,-423.916,-0.1403,29.6934,0.674,1.42937341027761,-0.0417488143794075
"81",5,"BB","BB+",3.0204,8.0381,6.4612,15.1311,3.5913,863.246,3173.7419,393.544,1520.85,1.6814,27.3643,1.1883,0.9979,0.4689,286.3821,0.09,6.4612,0.7694,0.258765821744419,0.0902348423480813
"82",5,"BB","BB+",1.3712,8.7083,5.6186,6.6656,1.1725,1092.882,2227.228,98.201,729.09,1.6814,49.0692,1.1715,0.9403,0.3508,125.028,0.0403,5.6186,0.6679,0.134689818815235,0.0561361477136602
"83",3,"A","A",1.5072,3.9097,2.532,11.107,5.1457,432.5,3278.8999,365.9,1135.3,6.4745,14.1999,0.8284,0.3849,0.145,-194.8,-0.0127,2.532,0.3718,0.322293666872192,-0.0594101698560545
"84",4,"BBB","BBB+",11.1374,30.4874,19.7046,19.5761,6.2786,2192,6833,908,837,1.6814,33.0309,0.7945,0.5114,0.0251,-172,-0.0628,19.7046,0.5934,1.08482676224612,-0.0251719596077857
"85",4,"BBB","BBB+",-0.8257,2.8175,0.073,-2.9426,-1.1945,34.734,551.29,44.888,225.903,0.0427,27.3304,1.3641,0.3552,0.0078,82.254,0.1374,0.073,1.417,0.198704753810264,0.149202778936676
